2024-01-07 23:10:55,726 INFO    MainThread:27169 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-01-07 23:10:55,727 INFO    MainThread:27169 [wandb_setup.py:_flush():76] Configure stats pid to 27169
2024-01-07 23:10:55,727 INFO    MainThread:27169 [wandb_setup.py:_flush():76] Loading settings from /Users/gaoming/.config/wandb/settings
2024-01-07 23:10:55,727 INFO    MainThread:27169 [wandb_setup.py:_flush():76] Loading settings from /Users/gaoming/Documents/Learning/project/diffusion_depth_estimation/pytorch-lightning-template-mnist/wandb/settings
2024-01-07 23:10:55,727 INFO    MainThread:27169 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-07 23:10:55,727 INFO    MainThread:27169 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-07 23:10:55,727 INFO    MainThread:27169 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/Users/gaoming/Documents/Learning/project/diffusion_depth_estimation/pytorch-lightning-template-mnist/main.py', 'program': '/Users/gaoming/Documents/Learning/project/diffusion_depth_estimation/pytorch-lightning-template-mnist/main.py'}
2024-01-07 23:10:55,727 INFO    MainThread:27169 [wandb_init.py:_log_setup():524] Logging user logs to ./exp/autoencoder/wandb/run-20240107_231055-kkgrx38h/logs/debug.log
2024-01-07 23:10:55,728 INFO    MainThread:27169 [wandb_init.py:_log_setup():525] Logging internal logs to ./exp/autoencoder/wandb/run-20240107_231055-kkgrx38h/logs/debug-internal.log
2024-01-07 23:10:55,728 INFO    MainThread:27169 [wandb_init.py:init():564] calling init triggers
2024-01-07 23:10:55,728 INFO    MainThread:27169 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2024-01-07 23:10:55,728 INFO    MainThread:27169 [wandb_init.py:init():614] starting backend
2024-01-07 23:10:55,728 INFO    MainThread:27169 [wandb_init.py:init():618] setting up manager
2024-01-07 23:10:55,732 INFO    MainThread:27169 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-01-07 23:10:55,735 INFO    MainThread:27169 [wandb_init.py:init():624] backend started and connected
2024-01-07 23:10:55,739 INFO    MainThread:27169 [wandb_init.py:init():716] updated telemetry
2024-01-07 23:10:55,754 INFO    MainThread:27169 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-01-07 23:10:56,930 INFO    MainThread:27169 [wandb_run.py:_on_init():2254] communicating current version
2024-01-07 23:10:58,976 INFO    MainThread:27169 [wandb_run.py:_on_init():2263] got version response 
2024-01-07 23:10:58,976 INFO    MainThread:27169 [wandb_init.py:init():800] starting run threads in backend
2024-01-07 23:11:02,947 INFO    MainThread:27169 [wandb_run.py:_console_start():2233] atexit reg
2024-01-07 23:11:02,948 INFO    MainThread:27169 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-07 23:11:02,948 INFO    MainThread:27169 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-07 23:11:02,948 INFO    MainThread:27169 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-07 23:11:02,948 INFO    MainThread:27169 [wandb_init.py:init():841] run started, returning control to user process
